file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,21112018,2309,1928.0,23.976023976023978,239,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1153d0f30>
"
"
Crab_ID,Crab_Position,Crab_frame
Crab_ID,Crab_axis_1,Crab_axis_2
"GP010016_fast.mp4_crab_(282, 293)",29,25
"GP010016_fast.mp4_crab_(282, 293)",29,25
"GP010016_fast.mp4_crab_(282, 293)",28,18
"GP010016_fast.mp4_crab_(282, 293)",27,18
"GP010016_fast.mp4_crab_(282, 293)",27,21
"GP010016_fast.mp4_crab_(282, 293)",27,18
"GP010016_fast.mp4_crab_(282, 293)",27,21
"GP010016_fast.mp4_crab_(282, 293)",29,20
"GP010016_fast.mp4_crab_(282, 293)",29,20
"GP010016_fast.mp4_crab_(282, 293)",27,20
"GP010016_fast.mp4_crab_(282, 293)",16,15
"GP010016_fast.mp4_crab_(282, 293)",25,18
"GP010016_fast.mp4_crab_(282, 293)",25,20
"GP010016_fast.mp4_crab_(282, 293)",25,23
"GP010016_fast.mp4_crab_(282, 293)",26,20
"GP010016_fast.mp4_crab_(282, 293)",26,20
"GP010016_fast.mp4_crab_(282, 293)",26,18
"GP010016_fast.mp4_crab_(282, 293)",26,19
"GP010016_fast.mp4_crab_(282, 293)",25,19
"GP010016_fast.mp4_crab_(282, 293)",25,21
"GP010016_fast.mp4_crab_(282, 293)",25,18
"GP010016_fast.mp4_crab_(282, 293)",25,18
"GP010016_fast.mp4_crab_(282, 293)",25,19
"GP010016_fast.mp4_crab_(282, 293)",27,18
"GP010016_fast.mp4_crab_(282, 293)",29,20
"GP010016_fast.mp4_crab_(282, 293)",31,22
"GP010016_fast.mp4_crab_(282, 293)",10,12
"GP010016_fast.mp4_crab_(282, 293)",6,10
"GP010016_fast.mp4_crab_(282, 293)",26,19
"GP010016_fast.mp4_crab_(282, 293)",25,20
"GP010016_fast.mp4_crab_(282, 293)",26,24
"GP010016_fast.mp4_crab_(282, 293)",22,20
"GP010016_fast.mp4_crab_(282, 293)",27,20
"GP010016_fast.mp4_crab_(282, 293)",22,20
"GP010016_fast.mp4_crab_(282, 293)",24,20
"GP010016_fast.mp4_crab_(282, 293)",28,23
"GP010016_fast.mp4_crab_(282, 293)",28,19
"GP010016_fast.mp4_crab_(282, 293)",27,18
"GP010016_fast.mp4_crab_(282, 293)",17,18
"GP010016_fast.mp4_crab_(282, 293)",27,18
"GP010016_fast.mp4_crab_(282, 293)",28,23
"GP010016_fast.mp4_crab_(282, 293)",28,24
"GP010016_fast.mp4_crab_(282, 293)",12,6
"GP010016_fast.mp4_crab_(282, 293)",19,9
"GP010016_fast.mp4_crab_(282, 293)",26,26
"GP010016_fast.mp4_crab_(282, 293)",24,19
"GP010016_fast.mp4_crab_(282, 293)",9,8
"GP010016_fast.mp4_crab_(282, 293)",20,21
"GP010016_fast.mp4_crab_(282, 293)",14,21
"GP010016_fast.mp4_crab_(282, 293)",26,21
"GP010016_fast.mp4_crab_(282, 293)",25,21
"GP010016_fast.mp4_crab_(282, 293)",25,21
"GP010016_fast.mp4_crab_(282, 293)",25,17
"GP010016_fast.mp4_crab_(282, 293)",25,21
"GP010016_fast.mp4_crab_(282, 293)",25,21
"GP010016_fast.mp4_crab_(282, 293)",25,21
"GP010016_fast.mp4_crab_(282, 293)",25,23
"GP010016_fast.mp4_crab_(282, 293)",26,26
"GP010016_fast.mp4_crab_(282, 293)",25,26
"GP010016_fast.mp4_crab_(282, 293)",6,16
"GP010016_fast.mp4_crab_(282, 293)",26,17
"GP010016_fast.mp4_crab_(282, 293)",26,19
