file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance
GP010016_fast.mp4,15112018,1349,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_(292, 205)","(252, 225)",421
"GP010016_fast.mp4_(292, 205)","(252, 225)",422
"GP010016_fast.mp4_(292, 205)","(252, 225)",423
"GP010016_fast.mp4_(292, 205)","(252, 225)",424
"GP010016_fast.mp4_(292, 205)","(252, 225)",425
"GP010016_fast.mp4_(292, 205)","(252, 225)",426
"GP010016_fast.mp4_(292, 205)","(252, 225)",427
"GP010016_fast.mp4_(292, 205)","(252, 225)",428
"GP010016_fast.mp4_(292, 205)","(252, 225)",429
"GP010016_fast.mp4_(292, 205)","(252, 225)",430
"GP010016_fast.mp4_(292, 205)","(252, 226)",431
"GP010016_fast.mp4_(292, 205)","(251, 226)",432
"GP010016_fast.mp4_(292, 205)","(251, 226)",433
"GP010016_fast.mp4_(292, 205)","(251, 226)",434
"GP010016_fast.mp4_(292, 205)","(251, 226)",435
"GP010016_fast.mp4_(292, 205)","(252, 226)",436
"GP010016_fast.mp4_(292, 205)","(252, 226)",437
"GP010016_fast.mp4_(292, 205)","(252, 226)",438
"GP010016_fast.mp4_(292, 205)","(252, 226)",439
"GP010016_fast.mp4_(292, 205)","(252, 226)",440
"GP010016_fast.mp4_(292, 205)","(251, 226)",441
"GP010016_fast.mp4_(292, 205)","(251, 226)",442
"GP010016_fast.mp4_(292, 205)","(251, 226)",443
"GP010016_fast.mp4_(292, 205)","(251, 227)",444
"GP010016_fast.mp4_(292, 205)","(251, 227)",445
"GP010016_fast.mp4_(292, 205)","(251, 226)",446
"GP010016_fast.mp4_(292, 205)","(251, 226)",447
"GP010016_fast.mp4_(292, 205)","(251, 227)",448
"GP010016_fast.mp4_(292, 205)","(251, 226)",449
"GP010016_fast.mp4_(292, 205)","(251, 227)",450
"GP010016_fast.mp4_(292, 205)","(251, 227)",451
"GP010016_fast.mp4_(292, 205)","(251, 227)",452
