file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,2338,1928,23.97602398,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.107758621,<TrackerMIL 0x10e996f30>
"
",,,,,,,,,,,,
Crab_ID,Crab_Position,Crab_frame,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(143, 279)",242,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(143, 279)",243,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 282)",244,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(144, 281)",245,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(144, 280)",246,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(143, 284)",247,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(147, 277)",248,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(143, 278)",249,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 276)",250,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 280)",251,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 279)",252,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 276)",253,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 276)",254,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 276)",255,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 277)",256,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 277)",257,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 275)",258,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 279)",259,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 279)",260,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 275)",261,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 276)",262,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(137, 270)",263,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 274)",264,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 271)",265,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(138, 274)",266,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(133, 268)",267,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 266)",268,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 263)",269,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 268)",270,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 267)",271,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 266)",272,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 268)",273,,,,,,,,,,
