file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1809,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1118fff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 32)",343
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 32)",344
"GP010016_fast.mp4_uca_n00(382, 12)","(373, 31)",345
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 31)",346
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 33)",347
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 26)",348
"GP010016_fast.mp4_uca_n00(382, 12)","(374, 31)",349
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 32)",350
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 33)",351
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 31)",352
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 32)",353
"GP010016_fast.mp4_uca_n00(382, 12)","(373, 31)",354
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 26)",355
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 33)",356
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 31)",357
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 33)",358
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 33)",359
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 31)",360
"GP010016_fast.mp4_uca_n00(382, 12)","(372, 32)",361
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 33)",362
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 33)",363
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 30)",364
"GP010016_fast.mp4_uca_n00(382, 12)","(370, 33)",365
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 33)",366
