file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1836,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11a0fdf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_lu01(369, 98)","(419, 152)",343
"GP010016_fast.mp4_uca_lu01(369, 98)","(423, 150)",344
"GP010016_fast.mp4_uca_lu01(369, 98)","(423, 150)",345
"GP010016_fast.mp4_uca_lu01(369, 98)","(422, 149)",346
"GP010016_fast.mp4_uca_lu01(369, 98)","(425, 148)",347
"GP010016_fast.mp4_uca_lu01(369, 98)","(425, 148)",348
"GP010016_fast.mp4_uca_lu01(369, 98)","(426, 146)",349
"GP010016_fast.mp4_uca_lu01(369, 98)","(428, 143)",350
"GP010016_fast.mp4_uca_lu01(369, 98)","(429, 143)",351
"GP010016_fast.mp4_uca_lu01(369, 98)","(426, 144)",352
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 143)",353
"GP010016_fast.mp4_uca_lu01(369, 98)","(422, 146)",354
"GP010016_fast.mp4_uca_lu01(369, 98)","(431, 146)",355
"GP010016_fast.mp4_uca_lu01(369, 98)","(432, 144)",356
"GP010016_fast.mp4_uca_lu01(369, 98)","(431, 144)",357
"GP010016_fast.mp4_uca_lu01(369, 98)","(431, 145)",358
"GP010016_fast.mp4_uca_lu01(369, 98)","(421, 147)",359
"GP010016_fast.mp4_uca_lu01(369, 98)","(432, 145)",360
"GP010016_fast.mp4_uca_lu01(369, 98)","(432, 144)",361
"GP010016_fast.mp4_uca_lu01(369, 98)","(431, 143)",362
"GP010016_fast.mp4_uca_lu01(369, 98)","(426, 144)",363
"GP010016_fast.mp4_uca_lu01(369, 98)","(426, 144)",364
"GP010016_fast.mp4_uca_lu01(369, 98)","(433, 143)",365
"GP010016_fast.mp4_uca_lu01(369, 98)","(431, 142)",366
"GP010016_fast.mp4_uca_lu01(369, 98)","(433, 143)",367
"GP010016_fast.mp4_uca_lu01(369, 98)","(433, 144)",368
"GP010016_fast.mp4_uca_lu01(369, 98)","(422, 144)",369
"GP010016_fast.mp4_uca_lu01(369, 98)","(434, 144)",370
