file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1811,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f93bf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nc00(225, 133)","(218, 93)",316
"GP010016_fast.mp4_uca_nc00(225, 133)","(222, 90)",317
"GP010016_fast.mp4_uca_nc00(225, 133)","(219, 91)",318
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 92)",319
"GP010016_fast.mp4_uca_nc00(225, 133)","(222, 92)",320
"GP010016_fast.mp4_uca_nc00(225, 133)","(222, 90)",321
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 91)",322
"GP010016_fast.mp4_uca_nc00(225, 133)","(222, 90)",323
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 91)",324
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 92)",325
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 90)",326
"GP010016_fast.mp4_uca_nc00(225, 133)","(225, 90)",327
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 91)",328
"GP010016_fast.mp4_uca_nc00(225, 133)","(221, 91)",329
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 90)",330
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 91)",331
"GP010016_fast.mp4_uca_nc00(225, 133)","(218, 92)",332
"GP010016_fast.mp4_uca_nc00(225, 133)","(219, 92)",333
"GP010016_fast.mp4_uca_nc00(225, 133)","(218, 92)",334
"GP010016_fast.mp4_uca_nc00(225, 133)","(219, 91)",335
"GP010016_fast.mp4_uca_nc00(225, 133)","(225, 90)",336
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 90)",337
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 91)",338
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 91)",339
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 92)",340
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 90)",341
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 90)",342
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 90)",343
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 90)",344
"GP010016_fast.mp4_uca_nc00(225, 133)","(220, 91)",345
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 90)",346
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 90)",347
"GP010016_fast.mp4_uca_nc00(225, 133)","(223, 90)",348
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 90)",349
"GP010016_fast.mp4_uca_nc00(225, 133)","(225, 89)",350
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 89)",351
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 89)",352
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 90)",353
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 90)",354
"GP010016_fast.mp4_uca_nc00(225, 133)","(228, 89)",355
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 91)",356
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 90)",357
"GP010016_fast.mp4_uca_nc00(225, 133)","(227, 90)",358
"GP010016_fast.mp4_uca_nc00(225, 133)","(228, 89)",359
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 89)",360
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 89)",361
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 90)",362
"GP010016_fast.mp4_uca_nc00(225, 133)","(224, 90)",363
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 90)",364
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 90)",365
"GP010016_fast.mp4_uca_nc00(225, 133)","(228, 89)",366
"GP010016_fast.mp4_uca_nc00(225, 133)","(226, 90)",367
