file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1806,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110d6af30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 26)",292
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 29)",293
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 28)",294
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 30)",295
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 26)",296
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 30)",297
"GP010016_fast.mp4_uca_nw01(52, 85)","(94, 25)",298
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 24)",299
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 24)",300
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 23)",301
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 24)",302
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 24)",303
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 24)",304
"GP010016_fast.mp4_uca_nw01(52, 85)","(67, 27)",305
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 26)",306
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 25)",307
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 32)",308
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 26)",309
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 25)",310
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 25)",311
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 25)",312
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 25)",313
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 26)",314
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 26)",315
"GP010016_fast.mp4_uca_nw01(52, 85)","(75, 25)",316
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 26)",317
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 27)",318
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 26)",319
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 26)",320
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 26)",321
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 25)",322
"GP010016_fast.mp4_uca_nw01(52, 85)","(66, 26)",323
"GP010016_fast.mp4_uca_nw01(52, 85)","(68, 24)",324
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 26)",325
"GP010016_fast.mp4_uca_nw01(52, 85)","(67, 27)",326
"GP010016_fast.mp4_uca_nw01(52, 85)","(69, 27)",327
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 25)",328
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 22)",329
"GP010016_fast.mp4_uca_nw01(52, 85)","(69, 26)",330
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 25)",331
"GP010016_fast.mp4_uca_nw01(52, 85)","(68, 23)",332
"GP010016_fast.mp4_uca_nw01(52, 85)","(68, 23)",333
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 24)",334
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 25)",335
"GP010016_fast.mp4_uca_nw01(52, 85)","(68, 25)",336
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 23)",337
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 24)",338
"GP010016_fast.mp4_uca_nw01(52, 85)","(69, 23)",339
"GP010016_fast.mp4_uca_nw01(52, 85)","(67, 22)",340
"GP010016_fast.mp4_uca_nw01(52, 85)","(68, 20)",341
"GP010016_fast.mp4_uca_nw01(52, 85)","(69, 23)",342
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 24)",343
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 23)",344
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 23)",345
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 25)",346
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 18)",347
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 22)",348
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 22)",349
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 23)",350
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 23)",351
