file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1820,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11542cf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",231
"GP010016_fast.mp4_uca_cc01(291, 205)","(267, 220)",232
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 221)",233
"GP010016_fast.mp4_uca_cc01(291, 205)","(267, 218)",234
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 220)",235
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",236
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 220)",237
"GP010016_fast.mp4_uca_cc01(291, 205)","(267, 218)",238
"GP010016_fast.mp4_uca_cc01(291, 205)","(267, 220)",239
"GP010016_fast.mp4_uca_cc01(291, 205)","(267, 220)",240
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 222)",241
"GP010016_fast.mp4_uca_cc01(291, 205)","(267, 220)",242
"GP010016_fast.mp4_uca_cc01(291, 205)","(267, 218)",243
"GP010016_fast.mp4_uca_cc01(291, 205)","(266, 218)",244
"GP010016_fast.mp4_uca_cc01(291, 205)","(267, 220)",245
"GP010016_fast.mp4_uca_cc01(291, 205)","(266, 218)",246
"GP010016_fast.mp4_uca_cc01(291, 205)","(265, 218)",247
"GP010016_fast.mp4_uca_cc01(291, 205)","(264, 218)",248
"GP010016_fast.mp4_uca_cc01(291, 205)","(263, 216)",249
"GP010016_fast.mp4_uca_cc01(291, 205)","(262, 217)",250
"GP010016_fast.mp4_uca_cc01(291, 205)","(261, 218)",251
"GP010016_fast.mp4_uca_cc01(291, 205)","(261, 218)",252
"GP010016_fast.mp4_uca_cc01(291, 205)","(261, 218)",253
"GP010016_fast.mp4_uca_cc01(291, 205)","(261, 218)",254
"GP010016_fast.mp4_uca_cc01(291, 205)","(261, 218)",255
"GP010016_fast.mp4_uca_cc01(291, 205)","(261, 218)",256
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",257
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",258
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",259
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",260
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 218)",261
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",262
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 218)",263
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",264
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 218)",265
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",266
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",267
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 218)",268
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",269
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 218)",270
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",271
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",272
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",273
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 220)",274
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 219)",275
"GP010016_fast.mp4_uca_cc01(291, 205)","(261, 219)",276
"GP010016_fast.mp4_uca_cc01(291, 205)","(259, 220)",277
"GP010016_fast.mp4_uca_cc01(291, 205)","(259, 219)",278
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 220)",279
"GP010016_fast.mp4_uca_cc01(291, 205)","(259, 219)",280
"GP010016_fast.mp4_uca_cc01(291, 205)","(259, 220)",281
"GP010016_fast.mp4_uca_cc01(291, 205)","(259, 220)",282
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 220)",283
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 220)",284
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 220)",285
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 220)",286
"GP010016_fast.mp4_uca_cc01(291, 205)","(259, 219)",287
"GP010016_fast.mp4_uca_cc01(291, 205)","(260, 220)",288
"GP010016_fast.mp4_uca_cc01(291, 205)","(259, 220)",289
"GP010016_fast.mp4_uca_cc01(291, 205)","(259, 219)",290
"GP010016_fast.mp4_uca_cc01(291, 205)","(258, 219)",291
