file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1816,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10cc24f30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 290)",334
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 291)",335
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 289)",336
"GP010016_fast.mp4_uca_cc00(313, 298)","(272, 289)",337
"GP010016_fast.mp4_uca_cc00(313, 298)","(273, 291)",338
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 290)",339
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 289)",340
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 291)",341
"GP010016_fast.mp4_uca_cc00(313, 298)","(274, 291)",342
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 291)",343
"GP010016_fast.mp4_uca_cc00(313, 298)","(278, 287)",344
"GP010016_fast.mp4_uca_cc00(313, 298)","(276, 291)",345
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 291)",346
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 291)",347
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 291)",348
"GP010016_fast.mp4_uca_cc00(313, 298)","(277, 291)",349
"GP010016_fast.mp4_uca_cc00(313, 298)","(279, 292)",350
"GP010016_fast.mp4_uca_cc00(313, 298)","(286, 292)",351
"GP010016_fast.mp4_uca_cc00(313, 298)","(282, 295)",352
"GP010016_fast.mp4_uca_cc00(313, 298)","(284, 294)",353
"GP010016_fast.mp4_uca_cc00(313, 298)","(281, 296)",354
"GP010016_fast.mp4_uca_cc00(313, 298)","(282, 295)",355
"GP010016_fast.mp4_uca_cc00(313, 298)","(281, 294)",356
"GP010016_fast.mp4_uca_cc00(313, 298)","(283, 296)",357
"GP010016_fast.mp4_uca_cc00(313, 298)","(282, 297)",358
"GP010016_fast.mp4_uca_cc00(313, 298)","(290, 303)",359
"GP010016_fast.mp4_uca_cc00(313, 298)","(291, 301)",360
"GP010016_fast.mp4_uca_cc00(313, 298)","(292, 301)",361
"GP010016_fast.mp4_uca_cc00(313, 298)","(294, 303)",362
"GP010016_fast.mp4_uca_cc00(313, 298)","(295, 302)",363
